Pnum,Section,Owner,Mixed species,Species,State code,Closed,Clear date,Missing entire brood,Suspected predation,Lay date,April lay date,Lay date uncertainty,Lay date visit interval,Laying rate,Incubation started,Num broken eggs,Expected hatch date,Hatch date,April hatch date,Incubation duration,Total egg weight,Num eggs weighed,Clutch size,Num chicks,Num chicks ringed,April ring date,Ring day,Num live chicks,Num dead chicks,Num fledglings,Mean chick weight,Num linked pulli records,Num linked adult records,Father,Mother,Identified adults,Chick ids,Dead ringed chick ids,Experiment codes,Num eggs manipulated,Comments,Legacy average egg weight,Legacy max nest state code,Legacy last visit date,Legacy hatch age in days,Legacy april hatch date,Legacy predation,Legacy clutch accuracy,Legacy mean fledge weight,Legacy num ringed dead chicks
20201B177,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B178,b,Richard Cope,false,b,6,true,28-05-2020,,,16-04-2020,16,0,7,1.00,true,0,07-05-2020,07-05-2020,37,13,4.40,4,9,9,9,51,15,9,0,9,11.27,9,1,,afh2700,01103f5800,,,,0,"FON, FON, FON",,,,,,,,,
20201B179,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B18,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B180,b,Sam Crofts,false,b,6,true,05-06-2020,,,22-04-2020,22,0,4,1.00,true,0,15-05-2020,15-05-2020,45,13,3.70,4,11,9,1,59,15,1,7,1,9.20,1,2,avl7814,avl7815,"avl7814, avl7815",,,,0,"warm eggs, FON",,,,,,,,,
20201B181,b,Richard Cope,false,g,6,true,26-05-2020,,,25-04-2020,25,0,4,1.00,true,0,13-05-2020,14-05-2020,44,14,5.00,3,6,6,0,,,,6,0,,0,1,,ty70198,ty70198,,,,0,FON,,,,,,,,,
20201B182,b,Richard Cope,false,b,6,true,05-06-2020,,,24-04-2020,24,0,6,,true,0,13-05-2020,15-05-2020,45,15,4.60,4,7,6,1,59,15,1,5,1,9.40,1,1,,avl7834,avl7834,,,,0,"FON, FON, FON",,,,,,,,,
20201B183,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B184,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B185,b,Richard Cope,false,b,6,true,01-06-2020,,,21-04-2020,21,0,7,1.00,true,0,13-05-2020,12-05-2020,42,12,3.40,3,10,9,8,56,15,9,1,7,8.22,9,3,abj6125,afh3477,"0700edd093, afh3477, abj6125",,unrrunt,,0,"FON, FON",,,,,,,,,
20201B186,b,Richard Cope,false,b,6,true,28-05-2020,,,17-04-2020,17,0,7,1.00,true,0,08-05-2020,07-05-2020,37,12,4.50,4,9,7,7,51,15,7,0,7,10.56,7,1,abj6126,,0700ee192b,,,,0,"FON, FON, female noted as unringed",,,,,,,,,
20201B187,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B188,b,Richard Cope,false,b,6,true,28-05-2020,,,19-04-2020,19,0,7,1.00,true,0,08-05-2020,07-05-2020,37,12,3.10,3,7,7,7,51,15,7,0,7,11.39,7,2,avl5589,avl5590,"avl5589, avl5590",,,,0,"FON, FON",,,,,,,,,
20201B189,b,Richard Cope,false,b,6,true,26-05-2020,,,24-04-2020,24,0,4,,,0,,,,,3.50,3,3,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B190,b,Richard Cope,false,b,6,true,15-06-2020,,,06-05-2020,36,2,7,,true,0,24-05-2020,22-05-2020,52,11,,,6,6,2,66,15,2,2,1,9.00,2,1,s883832,,s883832,,avl7869,,0,"FON, FON",,,,,,,,,
20201B191,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B192,b,Richard Cope,false,g,6,true,28-05-2020,,,14-04-2020,14,0,7,,true,0,04-05-2020,04-05-2020,34,13,,,8,8,8,48,15,8,0,8,18.35,8,3,vz30984,ty70025,"011017706f, vz30984, ty70025",,,,0,"FON, FON",,,,,,,,,
20201B193,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B194,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B194A,b,Richard Cope,false,b,6,true,30-05-2020,,,21-04-2020,21,0,7,1.00,true,0,11-05-2020,10-05-2020,40,12,3.60,3,8,7,7,54,15,7,0,7,11.03,7,2,,j215734,"j215734, 01103fbf45",,,,0,"warm eggs, FON, FON",,,,,,,,,
20201B195,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B196,b,Richard Cope,false,,0,false,,,,,,,,,,0,,,,,,,,,0,,,,0,0,,0,0,,,,,,,0,,,,,,,,,,
20201B197,b,Richard Cope,false,b,6,true,28-05-2020,,,16-04-2020,16,2,7,,true,0,04-05-2020,04-05-2020,34,13,,,6,6,6,48,15,6,0,6,11.20,6,3,afh4342,avl5522,"01103f5fe0, afh4342, avl5522",,,,0,"eggs warm, FON, FON",,,,,,,,,
20201B198,b,Keith Mc Mahon,false,g,6,true,23-05-2020,,,20-04-2020,20,0,6,1.00,true,0,10-05-2020,09-05-2020,39,12,5.20,3,8,8,0,,,,8,0,,0,3,tx42887,tw41886,"tw41886, 0110177a1d, 0700ed90d1",,,,0,young looked 13 days old,,,,,,,,,
